───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
~dietlibc-xinim/i386/asin.S        29         3         0         26          0
~ietlibc-xinim/i386/asinh.S        18         2         0         16          0
~dietlibc-xinim/i386/atan.S        27         3         0         24          0
~ietlibc-xinim/i386/atan2.S        25         1         0         24          0
~ietlibc-xinim/i386/atanh.S        19         2         0         17          0
~dietlibc-xinim/i386/atol.S        58         2        10         46          0
~ietlibc-xinim/i386/atoll.S        64        12         0         52          7
~dietlibc-xinim/i386/bind.S         7         1         0          6          0
~dietlibc-xinim/i386/cbrt.S        46         7         1         38          0
~dietlibc-xinim/i386/ceil.S        55         8         0         47          0
~ietlibc-xinim/i386/clone.S        79         9        18         52          0
~tlibc-xinim/i386/connect.S         7         1         0          6          0
~libc-xinim/i386/copysign.S        18         4         0         14          0
~/dietlibc-xinim/i386/cos.S        35         3         0         32          0
~dietlibc-xinim/i386/cosh.S        43         4         0         39          0
~-xinim/i386/dyn_syscalls.S       399        33        18        348          0
~/dietlibc-xinim/i386/exp.S        46         4         0         42          0
~ietlibc-xinim/i386/exp10.S        27         5         0         22          0
~dietlibc-xinim/i386/exp2.S        18         1         0         17          0
~ietlibc-xinim/i386/expm1.S        23         1         0         22          0
~dietlibc-xinim/i386/fabs.S        23         2         0         21          0
~/dietlibc-xinim/i386/ffs.S        17         0         0         17          0
~dietlibc-xinim/i386/ffsl.S         0         0         0          0          0
~ietlibc-xinim/i386/ffsll.S        21         0         0         21          0
~ietlibc-xinim/i386/floor.S        46         6         0         40          0
~dietlibc-xinim/i386/fmod.S        38         5         0         33          0
~bc-xinim/i386/getcontext.S        45         2         6         37          0
~etlibc-xinim/i386/getenv.S        48         4         0         44          0
~c-xinim/i386/getpeername.S         7         1         0          6          0
~c-xinim/i386/getsockname.S         7         1         0          6          0
~bc-xinim/i386/getsockopt.S         7         1         0          6          0
~ietlibc-xinim/i386/htonl.S        13         1         0         12          0
~ietlibc-xinim/i386/htons.S        11         1         0         10          0
~ietlibc-xinim/i386/hypot.S        30         2         0         28          0
~ietlibc-xinim/i386/ilogb.S        23         3         0         20          2
~dietlibc-xinim/i386/ipow.S        27         3         0         24          0
~etlibc-xinim/i386/isleap.S        28         3         0         25          0
~ietlibc-xinim/i386/ldexp.S        28         4         0         24          0
~ietlibc-xinim/i386/libm2.S       461        35         0        426          0
~etlibc-xinim/i386/listen.S         7         1         0          6          0
~/dietlibc-xinim/i386/log.S        26         2         0         24          0
~ietlibc-xinim/i386/log10.S        27         3         0         24          0
~ietlibc-xinim/i386/log1p.S        40         3         0         37          0
~dietlibc-xinim/i386/log2.S        11         1         0         10          0
~etlibc-xinim/i386/ltostr.S        62         1        12         49          1
~etlibc-xinim/i386/mcount.S        44         7        21         16          0
~etlibc-xinim/i386/md5asm.S       300        65         5        230          2
~tlibc-xinim/i386/memccpy.S        41         2        10         29          0
~etlibc-xinim/i386/memchr.S        68         5         2         61          0
~etlibc-xinim/i386/memcmp.S        21         0         0         21          0
~etlibc-xinim/i386/memcpy.S        16         0         0         16          0
~etlibc-xinim/i386/memset.S        15         0         0         15          0
~dietlibc-xinim/i386/mmap.S        26         1         1         24          0
~etlibc-xinim/i386/mmap64.S        63         2         1         60          0
~dietlibc-xinim/i386/poly.S        24         4         0         20          0
~/dietlibc-xinim/i386/pow.S        75         3         0         72          0
~dietlibc-xinim/i386/recv.S         7         1         0          6          0
~libc-xinim/i386/recvfrom.S         7         1         0          6          0
~libc-xinim/i386/recvmmsg.S         7         1         0          6          0
~tlibc-xinim/i386/recvmsg.S         7         1         0          6          0
~dietlibc-xinim/i386/rint.S        23         2         0         21          0
~dietlibc-xinim/i386/send.S         7         1         0          6          0
~libc-xinim/i386/sendmmsg.S         7         1         0          6          0
~tlibc-xinim/i386/sendmsg.S         7         1         0          6          0
~etlibc-xinim/i386/sendto.S         7         1         0          6          0
~bc-xinim/i386/setcontext.S        48         4         5         39          0
~etlibc-xinim/i386/setjmp.S        47         6         2         39          0
~bc-xinim/i386/setsockopt.S         7         1         0          6          0
~libc-xinim/i386/shutdown.S         7         1         0          6          0
~/dietlibc-xinim/i386/sin.S        34         3         0         31          0
~etlibc-xinim/i386/sincos.S        64         5         0         59          0
~dietlibc-xinim/i386/sinh.S        43         4         0         39          0
~ietlibc-xinim/i386/sleep.S        25         2         0         23          0
~etlibc-xinim/i386/socket.S         7         1         0          6          0
~bc-xinim/i386/socketcall.S        17         1         0         16          0
~bc-xinim/i386/socketpair.S         7         1         0          6          0
~dietlibc-xinim/i386/sqrt.S        23         2         0         21          0
~ietlibc-xinim/i386/sqrtl.S        11         2         0          9          0
